time,antenna,motusTagID,rssi
2021-08-30 12:07:47,4,57265,-90
2021-08-30 12:07:58,4,57265,-94
2021-08-30 14:22:08,4,57265,-85
2021-08-30 14:22:08,2,57265,-97
2021-08-30 14:22:08,1,57265,-84
2021-08-30 14:22:09,4,57265,-105
2021-08-30 14:22:09,1,57265,-106
2021-08-30 14:22:09,2,57265,-106
2021-08-30 14:22:10,2,57265,-86
2021-08-30 14:22:10,4,57265,-73
2021-08-30 14:22:10,1,57265,-97
2021-08-30 14:22:11,4,57265,-104
2021-08-30 14:22:11,1,57265,-105
2021-08-30 14:22:11,2,57265,-104
2021-08-30 14:22:12,2,57265,-92
2021-08-30 14:22:13,4,57265,-80
2021-08-30 14:22:17,2,57265,-94
2021-08-30 14:22:18,4,57265,-107
2021-08-30 14:22:22,4,57265,-97
2021-08-30 14:22:23,4,57265,-100
2021-08-30 14:22:28,1,57265,-80
2021-08-30 14:22:29,1,57265,-101
2021-08-30 14:22:29,4,57265,-83
2021-08-30 14:22:30,4,57265,-104
2021-08-30 14:22:31,2,57265,-107
2021-08-30 14:22:31,4,57265,-98
2021-08-30 14:22:31,1,57265,-108
2021-08-30 14:22:33,4,57265,-102
2021-08-30 14:22:34,4,57265,-86
2021-08-30 14:22:34,2,57265,-103
2021-08-30 14:22:34,1,57265,-100
2021-08-30 14:22:35,2,57265,-102
2021-08-30 14:22:35,1,57265,-106
2021-08-30 14:22:35,4,57265,-84
2021-08-30 14:22:36,2,57265,-101
2021-08-30 14:22:36,4,57265,-83
2021-08-30 14:22:37,2,57265,-96
2021-08-30 14:22:37,1,57265,-96
2021-08-30 14:22:37,4,57265,-103
2021-08-30 14:22:38,2,57265,-104
2021-08-30 14:22:38,1,57265,-106
2021-08-30 14:22:38,4,57265,-103
2021-08-30 14:22:39,4,57265,-80
2021-08-30 14:22:39,2,57265,-94
2021-08-30 14:22:40,4,57265,-100
2021-08-30 14:22:40,2,57265,-103
2021-08-30 14:22:41,4,57265,-76
2021-08-30 14:22:41,1,57265,-98
2021-08-30 14:22:41,2,57265,-88
2021-08-30 14:22:42,2,57265,-92
2021-08-30 14:22:42,1,57265,-101
2021-08-30 14:22:42,4,57265,-78
2021-08-30 14:22:43,1,57265,-99
2021-08-30 14:22:43,4,57265,-78
2021-08-30 14:22:44,2,57265,-105
2021-08-30 14:22:44,1,57265,-107
2021-08-30 14:22:45,2,57265,-89
2021-08-30 14:22:45,1,57265,-104
2021-08-30 14:22:51,2,57265,-108
2021-08-30 14:22:51,4,57265,-84
2021-08-30 14:22:52,2,57265,-107
2021-08-30 14:22:53,2,57265,-104
2021-08-30 14:22:53,1,57265,-106
2021-08-30 14:22:55,2,57265,-89
2021-08-30 14:22:55,1,57265,-102
2021-08-30 14:22:55,4,57265,-74
2021-08-30 14:22:56,4,57265,-80
